subjectid,questionid,response
1,1,1
1,2,1
1,3,1
1,4,1
1,5,0
1,6,1
1,7,NA
1,8,0
1,9,0
1,10,NA
1,11,1
1,12,1
1,13,1
1,14,0
1,15,1
1,16,1
1,17,1
1,18,0
1,19,1
1,20,1
1,21,1
1,22,1
1,23,1
1,24,NA
1,25,NA
1,26,1
1,27,0
2,1,1
2,2,1
2,3,1
2,4,0
2,5,1
2,6,0
2,7,0
2,8,0
2,9,1
2,10,0
2,11,1
2,12,1
2,13,0
2,14,1
2,15,0
2,16,1
2,17,1
2,18,1
2,19,0
2,20,0
2,21,0
2,22,0
2,23,1
2,24,1
2,25,1
2,26,1
2,27,1
3,1,0
3,2,1
3,3,NA
3,4,0
3,5,1
3,6,0
3,7,1
3,8,NA
3,9,0
3,10,1
3,11,0
3,12,0
3,13,1
3,14,0
3,15,0
3,16,1
3,17,1
3,18,0
3,19,0
3,20,0
3,21,1
3,22,1
3,23,1
3,24,0
3,25,1
3,26,0
3,27,0
4,1,1
4,2,0
4,3,1
4,4,0
4,5,NA
4,6,0
4,7,1
4,8,1
4,9,0
4,10,0
4,11,0
4,12,NA
4,13,1
4,14,NA
4,15,NA
4,16,1
4,17,0
4,18,1
4,19,1
4,20,1
4,21,0
4,22,0
4,23,0
4,24,0
4,25,1
4,26,0
4,27,1
5,1,0
5,2,NA
5,3,0
5,4,1
5,5,1
5,6,1
5,7,1
5,8,0
5,9,1
5,10,0
5,11,1
5,12,0
5,13,NA
5,14,1
5,15,1
5,16,0
5,17,1
5,18,0
5,19,1
5,20,NA
5,21,1
5,22,1
5,23,0
5,24,NA
5,25,1
5,26,0
5,27,0
6,1,NA
6,2,NA
6,3,1
6,4,NA
6,5,1
6,6,0
6,7,1
6,8,0
6,9,1
6,10,1
6,11,0
6,12,1
6,13,1
6,14,0
6,15,1
6,16,1
6,17,1
6,18,0
6,19,0
6,20,0
6,21,NA
6,22,1
6,23,NA
6,24,1
6,25,0
6,26,0
6,27,0
7,1,0
7,2,1
7,3,1
7,4,1
7,5,1
7,6,1
7,7,0
7,8,1
7,9,1
7,10,0
7,11,NA
7,12,0
7,13,0
7,14,1
7,15,1
7,16,0
7,17,NA
7,18,0
7,19,0
7,20,0
7,21,0
7,22,0
7,23,1
7,24,1
7,25,0
7,26,1
7,27,0
8,1,1
8,2,1
8,3,1
8,4,0
8,5,1
8,6,1
8,7,0
8,8,1
8,9,0
8,10,0
8,11,0
8,12,1
8,13,0
8,14,1
8,15,NA
8,16,0
8,17,0
8,18,1
8,19,1
8,20,1
8,21,0
8,22,1
8,23,0
8,24,NA
8,25,NA
8,26,0
8,27,0
9,1,1
9,2,0
9,3,0
9,4,0
9,5,1
9,6,1
9,7,1
9,8,0
9,9,0
9,10,0
9,11,0
9,12,1
9,13,0
9,14,1
9,15,1
9,16,0
9,17,0
9,18,0
9,19,0
9,20,1
9,21,0
9,22,1
9,23,NA
9,24,1
9,25,0
9,26,1
9,27,0
10,1,0
10,2,1
10,3,0
10,4,1
10,5,0
10,6,1
10,7,NA
10,8,NA
10,9,0
10,10,0
10,11,0
10,12,0
10,13,0
10,14,1
10,15,1
10,16,0
10,17,0
10,18,1
10,19,NA
10,20,0
10,21,1
10,22,0
10,23,NA
10,24,1
10,25,1
10,26,1
10,27,0
11,1,1
11,2,1
11,3,0
11,4,1
11,5,1
11,6,0
11,7,0
11,8,1
11,9,1
11,10,0
11,11,0
11,12,1
11,13,1
11,14,0
11,15,0
11,16,0
11,17,0
11,18,0
11,19,0
11,20,1
11,21,0
11,22,1
11,23,1
